,Ano,Mes,Dia,Antena,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
81,2019,3,2,7327,16.28,-93.42,34.85223,19.5791,34.85223,19.5791,26.22821,26.22821
82,2019,3,1,7330,16.29,-92.43,30.87244,16.63214,30.87244,16.63214,23.24167,23.24167
83,2019,3,2,7330,16.29,-92.43,32.98376,15.74646,32.98376,15.74646,23.85211,23.85211
84,2019,3,1,7388,16.57,-93.59,32.39713,17.93735,32.39713,17.93735,24.36514,24.36514
85,2019,3,2,7388,16.57,-93.59,32.71021,18.70245,32.71021,18.70245,24.95813,24.95813
86,2019,3,1,8005,26.96,-106.35,25.6994,5.34732,25.6994,5.34732,14.56879,14.56879
87,2019,3,2,8005,26.96,-106.35,27.16992,6.54251,27.16992,6.54251,15.03146,15.03146
88,2019,3,1,8006,31.0,-105.57,25.05917,5.617,25.05917,5.617,14.91895,14.91895
89,2019,3,2,8006,31.0,-105.57,23.01743,8.23868,23.01743,8.23868,15.68918,15.68918
90,2019,3,1,8023,29.56,-104.4,28.94583,9.89612,28.94583,9.89612,19.47311,19.47311
91,2019,3,2,8023,29.56,-104.4,30.14139,13.19653,30.14139,13.19653,20.76639,20.76639
92,2019,3,1,8028,28.55,-107.48,22.43005,4.55185,22.43005,4.55185,12.18073,12.18073
93,2019,3,2,8028,28.55,-107.48,18.97043,3.52673,18.97043,3.52673,10.35532,10.35532
94,2019,3,1,8031,29.56,-104.42,28.93985,9.88538,28.93985,9.88538,19.46454,19.46454
95,2019,3,2,8031,29.56,-104.42,30.13556,13.18283,30.13556,13.18283,20.755,20.755
96,2019,3,1,8050,27.59,-106.16,27.4949,7.50174,27.4949,7.50174,17.00201,17.00201
97,2019,3,2,8050,27.59,-106.16,27.99966,8.45999,27.99966,8.45999,16.87119,16.87119
98,2019,3,1,8052,29.39,-104.17,29.15424,9.81259,29.15424,9.81259,19.3847,19.3847
99,2019,3,2,8052,29.39,-104.17,30.17188,13.1037,30.17188,13.1037,20.85721,20.85721
100,2019,3,1,8096,28.47,-107.33,22.5498,4.29312,22.5498,4.29312,12.24219,12.24219
