,Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
6803,26288,02/03/2019,30.6,-110.9,26288,-99.0,-99.0,Sonora Norte,Bajada,25.66711,11.21606,-99.0,-99.0,17.0097,,,,,,0
6816,26295,01/03/2019,30.72,-112.16,26295,-99.0,-99.0,Sonora Norte,Bajada,27.3989,12.4754,-99.0,-99.0,18.36914,,,,,,0
6817,26295,02/03/2019,30.72,-112.16,26295,-99.0,-99.0,Sonora Norte,Bajada,27.81915,12.86966,-99.0,-99.0,18.86929,,,,,,0
6826,26300,01/03/2019,27.71,-109.9,26300,-99.0,-99.0,Sonora Sur,Bajada,33.31973,15.92102,-99.0,-99.0,23.01047,,,,,,0
6827,26300,02/03/2019,27.71,-109.9,26300,-99.0,-99.0,Sonora Sur,Bajada,30.82211,16.57779,-99.0,-99.0,22.34406,,,,,,0
6836,26305,01/03/2019,27.54,-109.84,26305,-99.0,-99.0,Sonora Sur,Bajada,32.94229,16.02567,-99.0,-99.0,22.83829,,,,,,0
6837,26305,02/03/2019,27.54,-109.84,26305,-99.0,-99.0,Sonora Sur,Bajada,30.72049,16.815,-99.0,-99.0,22.48303,,,,,,0
6838,26306,01/03/2019,27.29,-109.36,26306,-99.0,-99.0,Sonora Sur,Bajada,33.30927,15.836,-99.0,-99.0,22.94122,,,,,,0
6839,26306,02/03/2019,27.29,-109.36,26306,-99.0,-99.0,Sonora Sur,Bajada,31.84534,16.74466,-99.0,-99.0,22.86148,,,,,,0
6840,26307,01/03/2019,27.72,-109.92,26307,-99.0,-99.0,Sonora Sur,Bajada,33.36188,15.92032,-99.0,-99.0,23.03152,,,,,,0
6841,26307,02/03/2019,27.72,-109.92,26307,-99.0,-99.0,Sonora Sur,Bajada,30.83728,16.56439,-99.0,-99.0,22.33871,,,,,,0
6846,26329,01/03/2019,28.15,-110.69,26329,-99.0,-99.0,Sonora Sur,Bajada,31.49823,14.53122,-99.0,-99.0,21.96399,,,,,,0
6847,26329,02/03/2019,28.15,-110.69,26329,-99.0,-99.0,Sonora Sur,Bajada,28.65149,16.1066,-99.0,-99.0,20.75934,,,,,,0
6992,28005,01/03/2019,22.47,-99.08,28005,-99.0,-99.0,Panuco,Bajada,33.47482,18.46918,-99.0,-99.0,24.40912,,,,,,0
6993,28005,02/03/2019,22.47,-99.08,28005,-99.0,-99.0,Panuco,Bajada,34.19125,18.65851,-99.0,-99.0,25.07538,,,,,,0
7024,28023,01/03/2019,22.84,-99.19,28023,-99.0,-99.0,Panuco,Bajada,33.08868,17.45895,-99.0,-99.0,23.52936,,,,,,0
7025,28023,02/03/2019,22.84,-99.19,28023,-99.0,-99.0,Panuco,Bajada,34.00183,17.13284,-99.0,-99.0,24.26685,,,,,,0
